Operation,Part Number,Description,Reference,,,,Part Number,Reference,,Part Number,Ref.,Skip
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C10,,,,106-0299-02,C10,,106-0299-02,C10,No
20,106-0245-02,CAP .01UF CM 16V X7R 10% 0402           ,C101,,,,106-0245-02,C101,,106-0245-02,C101,No
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C102,,,,106-0239-02,C102,,106-0239-02,C102,No
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C103,,,,106-0299-02,C103,,106-0299-02,C103,No
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C104,,,,106-0264-02,C104,,106-0264-02,C104,Yes
20,106-0197-02,CAP 1000PF CM 25V 10% X7R 0402,C105,,,,106-0197-02,C105,,106-0197-02,C105,No
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C106,,,,106-0299-02,C106,,106-0299-02,C106,No
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C11,,,,106-0239-02,C11,,106-0239-02,C11,No
20,106-20138-02,CAP CM 10UF 50V 10% X7R 1210,C111,,,,106-20138-02,C111,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C115,,,,106-0264-02,C115,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C116,,,,106-0299-02,C116,,,,
20,106-0622-02,CAP 4.7UF CM 10% 10V X5R 0603           ,C117,,,,106-0622-02,C117,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C12,,,,106-0264-02,C12,,,,
20,106-0245-02,CAP .01UF CM 16V X7R 10% 0402           ,C13,,,,106-0245-02,C13,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C14,,,,106-0264-02,C14,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C169,,,,106-0275-02,C169,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C19,,,,106-0275-02,C19,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C20,,,,106-0275-02,C20,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C21,,,,106-0239-02,C21,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C22,,,,106-0264-02,C22,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C23,,,,106-0264-02,C23,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C24,,,,106-0275-02,C24,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C25,,,,106-0275-02,C25,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C26,,,,106-0264-02,C26,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C27,,,,106-0264-02,C27,,,,
20,106-0300-02,CAP 1UF 16V 10% X7R 0603                ,C28,,,,106-0300-02,C28,,,,
20,106-0263-02,CAP 2.2UF CM 6.3V 10% X5R 0603,C29,,,,106-0263-02,C29,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C30,,,,106-0264-02,C30,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C31,,,,106-0239-02,C31,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C32,,,,106-0264-02,C32,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C33,,,,106-0239-02,C33,,,,
20,106-0263-02,CAP 2.2UF CM 6.3V 10% X5R 0603,C34,,,,106-0263-02,C34,,,,
20,106-0258-02,CAP 27PF CM 50V 5% COG 0402             ,C35,,,,106-0258-02,C35,,,,
20,106-0258-02,CAP 27PF CM 50V 5% COG 0402             ,C36,,,,106-0258-02,C36,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C37,,,,106-0275-02,C37,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C38,,,,106-0275-02,C38,,,,
20,106-0479-02,CAP 33NF CM 25V 10% X7R 0402            ,C39,,,,106-0479-02,C39,,,,
20,106-0502-02,CAP 10UF CM 10V 10% X5R 0805            ,C40,,,,106-0502-02,C40,,,,
20,106-0502-02,CAP 10UF CM 10V 10% X5R 0805            ,C403,,,,106-0502-02,C403,,,,
20,106-0197-02,CAP 1000PF CM 25V 10% X7R 0402,C41,,,,106-0197-02,C41,,,,
20,106-0266-02,CAP .1UF CM 50V 10% X7R 0603,C42,,,,106-0266-02,C42,,,,
20,106-0241-02,CAP 120PF CM 50V 5% NPO 0402            ,C43,,,,106-0241-02,C43,,,,
20,106-0197-02,CAP 1000PF CM 25V 10% X7R 0402,C44,,,,106-0197-02,C44,,,,
20,106-0245-02,CAP .01UF CM 16V X7R 10% 0402           ,C45,,,,106-0245-02,C45,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C46,,,,106-0239-02,C46,,,,
20,106-20138-02,CAP CM 10UF 50V 10% X7R 1210,C47,,,,106-20138-02,C47,,,,
20,106-0550-02,CAP 470PF 0402 50V NPO +/-5%            ,C5,,,,106-0550-02,C5,,,,
20,106-0263-02,CAP 2.2UF CM 6.3V 10% X5R 0603,C50,,,,106-0263-02,C50,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C51,,,,106-0299-02,C51,,,,
20,106-0266-02,CAP .1UF CM 50V 10% X7R 0603,C52,,,,106-0266-02,C52,,,,
20,106-0547-02,CAP .01UF CM 100V 10% X7R 0603,C53,,,,106-0547-02,C53,,,,
20,106-0245-02,CAP .01UF CM 16V X7R 10% 0402           ,C54,,,,106-0245-02,C54,,,,
20,106-0217-02,CAP .22UF CM 10V 10% X7R 0603           ,C55,,,,106-0217-02,C55,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C56,,,,106-0299-02,C56,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C57,,,,106-0299-02,C57,,,,
20,106-0263-02,CAP 2.2UF CM 6.3V 10% X5R 0603,C59,,,,106-0263-02,C59,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C6,,,,106-0275-02,C6,,,,
20,106-0263-02,CAP 2.2UF CM 6.3V 10% X5R 0603,C60,,,,106-0263-02,C60,,,,
20,095-0008-02,CAP 100UF AE 25V SMT                    ,C61,,,,095-0008-02,C61,,,,
20,095-0049-02,CAP 68UF AE 25V 6.3x6.3mm SMD,C62,,,,095-0049-02,C62,,,,
20,106-0245-02,CAP .01UF CM 16V X7R 10% 0402           ,C63,,,,106-0245-02,C63,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C64,,,,106-0299-02,C64,,,,
20,106-0558-02,CAP 6.8PF +/-0.5PF 50V 0402,C65,,,,106-0558-02,C65,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C66,,,,106-0299-02,C66,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C67,,,,106-0264-02,C67,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C68,,,,106-0239-02,C68,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C69,,,,106-0239-02,C69,,,,
20,106-0502-02,CAP 10UF CM 10V 10% X5R 0805            ,C7,,,,106-0502-02,C7,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C70,,,,106-0239-02,C70,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C72,,,,106-0239-02,C72,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C73,,,,106-0239-02,C73,,,,
20,106-0258-02,CAP 27PF CM 50V 5% COG 0402             ,C76,,,,106-0258-02,C76,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C78,,,,106-0299-02,C78,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C8,,,,106-0275-02,C8,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C80,,,,106-0299-02,C80,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C81,,,,106-0299-02,C81,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C82,,,,106-0299-02,C82,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C84,,,,106-0264-02,C84,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C86,,,,106-0239-02,C86,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C9,,,,106-0275-02,C9,,,,
20,106-0502-02,CAP 10UF CM 10V 10% X5R 0805            ,C90,,,,106-0502-02,C90,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C93,,,,106-0299-02,C93,,,,
20,106-0245-02,CAP .01UF CM 16V X7R 10% 0402           ,C94,,,,106-0245-02,C94,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C95,,,,106-0264-02,C95,,,,
20,106-0502-02,CAP 10UF CM 10V 10% X5R 0805            ,C96,,,,106-0502-02,C96,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C97,,,,106-0299-02,C97,,,,
20,106-0242-02,CAP 18PF CM 50V NPO 5% 0402             ,C98,,,,106-0242-02,C98,,,,
20,106-0242-02,CAP 18PF CM 50V NPO 5% 0402             ,C99,,,,106-0242-02,C99,,,,
20,016-0098-01,DIO MM3Z18VT1G ZNR 18V SOD-323          ,D1,,,,016-0098-01,D1,,,,
20,016-23217-00,DIO SCHTKY BARR 1A 40V SOD-123FL,D2,,,,016-23217-00,D2,,,,
20,027-0046-00,FRRT BEAD EMI FLTR SMT LL0603           ,L10,,,,027-0046-00,L10,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L11,,,,027-0041-00,L11,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L12,,,,027-0041-00,L12,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L14,,,,027-0041-00,L14,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L15,,,,027-0041-00,L15,,,,
20,029-0119-08,INDUCTOR 680NH 190mA 5% 0805CS,L16,,,,029-0119-08,L16,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L17,,,,027-0041-00,L17,,,,
20,029-0229-08,CHOKE 4700UH 400MA CC2824 SMD,L18,,,,029-0229-08,L18,,,,
20,029-0210-08,INDCTR MLC 3.9NH +/-0.3NH 0402,L2,,,,029-0210-08,L2,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L20,,,,027-0041-00,L20,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L21,,,,027-0041-00,L21,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L23,,,,027-0041-00,L23,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L24,,,,027-0041-00,L24,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L25,,,,027-0041-00,L25,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L3,,,,027-0041-00,L3,,,,
20,029-0242-08,INDCTR 22uH 20% 6.47x 6.86x 3mm SMD,L4,,,,029-0242-08,L4,,,,
20,029-0234-08,INDCTR 18nH 300mA 5% 0402,L5,,,,029-0234-08,L5,,,,
20,029-0236-08,INDCTR 5.6nH 300mA 5% 0402,L6,,,,029-0236-08,L6,,,,
20,029-0234-08,INDCTR 18nH 300mA 5% 0402,L7,,,,029-0234-08,L7,,,,
20,029-0255-08,"INDCTR,6.8nH,5%,700mA,0402",L8,,,,029-0255-08,L8,,,,
20,027-0041-00,FLTR FER BEAD EMI 0402                  ,L9,,,,027-0041-00,L9,,,,
20,017-26860-B0,PCB POTUS COMPASS/GPS,PCB,,,,015-0050-07,Q1,,,,
20,015-0050-07,XSTR PNP 65V 100MA BC856BW SOT323,Q1,,,,015-0087-05,Q2,,,,
20,015-0087-05,XSTR PNP 300V 500mA SOT23,Q2,,,,015-0027-08,Q3,,,,
20,015-0027-08,XSTR PXTA92 PNP 300V 100mA 1.3W SOT89,Q3,,,,114-1001-C4,R1,,,,
20,114-1001-C4,RES 1.00K 1/16W 1% 50V 0402             ,R1,,,,114-6652-C4,R10,,,,
20,114-6652-C4,RES 66.5K 1/16W 1% 50V 0402             ,R10,,,,114-1001-C4,R11,,,,
20,114-1001-C4,RES 1.00K 1/16W 1% 50V 0402             ,R11,,,,114-1001-C4,R13,,,,
20,114-1001-C4,RES 1.00K 1/16W 1% 50V 0402             ,R13,,,,114-1002-C4,R14,,,,
20,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R14,,,,114-2202-C4,R15,,,,
20,114-2202-C4,RES 22.0K 1/16W 1% 50V 0402             ,R15,,,,114-1002-C4,R16,,,,
20,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R16,,,,114-5111-C4,R17,,,,
20,114-5111-C4,RES 5.11K 1/16W 1% 50V 0402             ,R17,,,,114-1002-C4,R18,,,,
20,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R18,,,,114-1002-C4,R19,,,,
20,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R19,,,,114-1002-C4,R2,,,,
20,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R2,,,,114-1003-C4,R20,,,,
20,114-1003-C4,RES 100K 1/16W 1% 0402                  ,R20,,,,114-10R0-C4,R21,,,,
20,114-10R0-C4,RES 10.0 1/16W 1% 50V 0402              ,R21,,,,114-0000-C6,R23,,,,
20,114-0000-C6,RES 0 JMPR 1.0A 0402                    ,R23,,,,114-2002-C4,R24,,,,
20,114-2002-C4,RES 20.0K 1/16W 1% 50V 0402             ,R24,,,,114-1001-C4,R25,,,,
20,114-1001-C4,RES 1.00K 1/16W 1% 50V 0402             ,R25,,,,114-1000-C4,R26,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R26,,,,114-1000-C4,R27,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R27,,,,114-0000-C6,R28,,,,
20,114-0000-C6,RES 0 JMPR 1.0A 0402                    ,R28,,,,114-4303-C6,R31,,,,
20,114-4303-C6,RES 430K 1/16W 5% 50V 0402              ,R31,,,,114-1002-C4,R32,,,,
20,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R32,,,,114-1000-C4,R33,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R33,,,,114-0000-C6,R34,,,,
20,114-0000-C6,RES 0 JMPR 1.0A 0402                    ,R34,,,,114-1000-C4,R35,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R35,,,,114-1002-C4,R36,,,,
20,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R36,,,,114-4701-C6,R37,,,,
20,114-4701-C6,RES 4.7K 1/16W 5% 50V 0402              ,R37,,,,114-1002-C4,R38,,,,
20,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R38,,,,114-4303-C6,R39,,,,
20,114-4303-C6,RES 430K 1/16W 5% 50V 0402              ,R39,,,,114-1002-C4,R4,,,,
20,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R4,,,,114-1000-C4,R40,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R40,,,,114-1000-C4,R41,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R41,,,,114-1000-C4,R42,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R42,,,,114-1000-C4,R43,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R43,,,,114-0000-C6,R44,,,,
20,114-0000-C6,RES 0 JMPR 1.0A 0402                    ,R44,,,,114-0000-C6,R45,,,,
20,114-0000-C6,RES 0 JMPR 1.0A 0402                    ,R45,,,,114-0000-C6,R46,,,,
20,114-0000-C6,RES 0 JMPR 1.0A 0402                    ,R46,,,,114-1001-C4,R47,,,,
20,114-1001-C4,RES 1.00K 1/16W 1% 50V 0402             ,R47,,,,114-1000-C4,R48,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R48,,,,114-1003-C4,R49,,,,
20,114-1003-C4,RES 100K 1/16W 1% 0402                  ,R49,,,,114-1001-C4,R5,,,,
20,114-1001-C4,RES 1.00K 1/16W 1% 50V 0402             ,R5,,,,114-1000-C4,R50,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R50,,,,114-0000-C6,R51,,,,
20,114-0000-C6,RES 0 JMPR 1.0A 0402                    ,R51,,,,114-1003-C4,R52,,,,
20,114-1003-C4,RES 100K 1/16W 1% 0402                  ,R52,,,,114-1001-C4,R53,,,,
20,114-1001-C4,RES 1.00K 1/16W 1% 50V 0402             ,R53,,,,114-1002-C4,R55,,,,
20,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R55,,,,114-1001-C4,R58,,,,
20,114-1001-C4,RES 1.00K 1/16W 1% 50V 0402             ,R58,,,,114-1000-C4,R59,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R59,,,,114-1000-C4,R6,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R6,,,,114-1000-C4,R60,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R60,,,,114-1000-C4,R68,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R68,,,,114-1000-C4,R69,,,,
20,114-1000-C4,RES 100 1/16W 1% 50V 0402               ,R69,,,,114-1002-C4,R7,,,,
20,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R7,,,,114-1002-C4,R71,,,,
20,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R71,,,,114-0000-C6,R8,,,,
20,114-0000-C6,RES 0 JMPR 1.0A 0402                    ,R8,,,,114-0000-C6,R80,,,,
20,114-0000-C6,RES 0 JMPR 1.0A 0402                    ,R80,,,,114-0000-C6,R81,,,,
20,114-0000-C6,RES 0 JMPR 1.0A 0402                    ,R81,,,,114-0000-C6,R9,,,,
20,114-0000-C6,RES 0 JMPR 1.0A 0402                    ,R9,,,,014-25558-00,U1,,,,
20,014-25558-00,IC TESEOIII STA8089FGTR,U1,,,,014-30083-00,U10,,,,
20,014-30083-00,IC ACCLRMTR GYRO  LSM6DSO LGA-14L,U10,,,,014-26871-01,U11,,,,
20,014-26871-01,IC MGNTMR 3-AXIS MMC5983MA LGA16,U11,,,,014-0053-16,U14,,,,
20,014-0053-16,IC 809R 2.63V RST,U14,,,,014-0059-34,U2,,,,
20,014-0059-34,IC 3.3V LDO 250MA 1.5% SOT23-5,U2,,,,014-0060-34,U3,,,,
20,014-0060-34,IC 1.8V LDO 300MA SOT23-5,U3,,,,015-0013-13,U4,,,,
20,015-0013-13,IC LNA  BGU7007 SOT886,U4,,,,041-29483-162,U5,,,,
10,041-29483-162,IC DCL ASY POINT 1 FR V1.6.0-2,U5,,,,014-0801-00,U7,,,,
20,014-0801-00,IC SWITCH reg LMR24210 BGA-28 uSMD,U7,,,,014-26749-00,U9,,,,
20,014-26749-00,IC CAN XCVR 5V 16kV STBY TCAN1042 SOIC8,U9,,,,046-0145-011,Y1,,,,
20,046-0145-011,XTAL 32.768KHZ SMT REV AA               ,Y1,,,,046-0180-01,Y2,,,,
20,046-0180-01,XTAL 26MHz IGPS TCXO,Y2,,,,025-0010-04,Y3,,,,
20,025-0010-04,SAW FLTR 1575.42-1602.62 MHz GPS,Y3,,,,046-0146-01,Y5,,,,
20,046-0146-01,XTAL 16.000MHZ 3X5 SMT                  ,Y5,,,,025-0010-04,Y7,,,,
20,025-0010-04,SAW FLTR 1575.42-1602.62 MHz GPS,Y7,,,,,,,,,
20,140-0704-00,SOLDER PASTE SAC305 SENJU,,,,,,,,,,
20,051-1279-00,C_DCL IC BLANK .30 X .45,,,,,,,,,,
10,014-0786-00,IC STM32F205 96K/256K MEM LQFP64,,,,,,,,,,
